stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,28.6,0,0,0,0,0,0,0,0,0,0,0,4.09,0,20.43,0,0,0,4.09,4.09,224.75,0,0,4.09,0,0,0,0,4.09,0,0,0
72hpf,1.07,0,0,1.07,1.07,3.21,1.07,0,0,0,0,0,0,0,2.14,3.21,0,5.35,0,0,0,0,48.14,49.21,1.07,1.07,7.49,0,0,2.14,0,1.07,0,0,0
21Day,4.02,0,0,10.71,0,1.34,1.34,0,0,0,0,0,1.34,0,0,1.34,0,18.74,0,0,1.34,0,18.74,22.76,1.34,0,1.34,0,0,1.34,0,0,0,0,5.35
3Month,0.32,2.56,0,13.44,0.64,0,0.32,0,0.96,0,10.88,0.64,0.32,4.16,0.32,3.52,0.64,5.44,0.32,0.32,1.28,0.96,0.96,1.28,0.32,0.32,0.32,2.24,13.76,0,0,0.32,1.92,5.44,38.39
22Month,0,2.73,0.55,7.65,0,0,1.09,0.55,6.01,2.19,37.17,0,1.09,10.93,0.55,1.64,2.19,4.92,0,3.28,1.64,0,0.55,0.55,1.64,2.73,0.55,0,2.19,1.09,0.55,0,0.55,0,42.09
