stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,16.35,4.09,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,1.07,0,3.21,0,0,0,0,0,0,0,0,0,1.07,3.21,37.44,9.63,0,2.14,0,9.63,9.63,0,0,16.05,0,0,2.14,0,0,0,0
21Day,2.68,0,0,13.39,1.34,0,0,1.34,0,0,1.34,5.35,0,0,6.69,93.7,2.68,0,0,1.34,5.35,5.35,0,0,1.34,1.34,0,0,1.34,0,0,12.05
3Month,0,0,0.32,6.72,0,0,0,0.32,0,9.92,2.88,0,1.28,0.32,0.32,68.15,0.64,0.32,0,0,0,0.32,0,0.32,0,0.32,0.64,0,0,0.32,0.32,5.76
22Month,0,0,1.09,5.47,0,0.55,0.55,5.47,1.64,202.81,0,0,1.09,0,1.64,63.96,0.55,0,1.09,0.55,0,0,0.55,0,0,0,0,0,0,0.55,0,6.56
