stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42,0,0,1.07,0,0,0
21Day,0,0,1.34,0,0,0,0,0,1.34,0,0,0,0,1.34,0,8.03,0,0,0,2.68,0,0
3Month,0,0.96,0,0.96,0,0,2.24,0.32,0,1.28,0.32,0.32,0,0,0,0.96,0,0.32,0,0,0.32,0.32
22Month,0.55,1.09,0,0,1.09,0.55,19.68,0,0,3.83,0.55,0,3.28,0,2.19,0.55,0.55,8.75,0,0,0,0
