stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
72hpf,0,1.07,0,0,0,0,0,0,1.07,0,11.77,0,0,0
21Day,0,4.02,0,0,0,0,2.68,1.34,0,0,4.02,0,0,0
3Month,0,0.64,0,0,0.96,0.32,0,0,0.32,0,0,0.32,0.32,0.32
22Month,0.55,0,0.55,1.64,5.47,1.09,0,0.55,0,0.55,0,0,0,0
