stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,8.17,28.6,0,0,0,0,0,0,0,0
72hpf,2.14,0,3.21,0,0,0,0,0,0,0,0,0,1.07,0,1.07,3.21,0,2.14,0,4.28,4.28,1.07,0,0,0,1.07,0,0,0
21Day,4.02,0,9.37,0,4.02,0,5.35,0,0,0,0,0,6.69,2.68,0,2.68,0,8.03,0,1.34,6.69,0,0,1.34,0,0,0,0,1.34
3Month,0,0.32,5.76,0,0,0.64,0.64,0.64,0.96,0,9.92,0.32,0.64,0.96,0,1.6,0.64,1.28,0.32,0,0,0,0,1.28,5.12,0,0.32,0.64,0.96
22Month,0,1.09,0,0,0,0,0,0.55,1.09,1.09,49.75,0,2.73,2.19,0,0,1.09,1.64,0,0,0,0,1.09,0,2.73,0,0,0,0.55
