stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,T_cell
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0
21Day,2.68,0,1.34,2.68,0,0,0,1.34,97.71,4.02,2.68,2.68,2.68,1.34,6.69,0,0,4.02,2.68,1.34,2.68
3Month,0,0,0,0.96,0,0,0.32,0.64,0,0,0,0.32,0,0,0,0,0,0,0,0,3.52
22Month,0,0.55,0.55,0.55,0.55,0.55,0,10.93,0,0,0,0.55,1.09,0.55,0,3.28,0.55,0.55,0,0,13.12
