stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,4.09,28.6,0,0,0,0,0,0,0,0,0,57.21,0,0,4.09,257.44,0,0,16.35,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,6.69,4.02,0,0,0,1.34,0,0,1.34,0,0
3Month,0,0.32,12.16,0.32,0.96,1.6,8,7.36,3.52,0.32,3.84,2.24,0.64,0.32,0.64,0.32,0,0.32,0.64,0,0,16.32,0.32,0,3.84,1.92
