stage,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0
3Month,0.32,1.28,0.32,3.52,0.32,3.2,0.64,0.32,0.64,0.64,0,0,0.32,0.32,78.71,0.64,47.35,0.64
22Month,0,0,0,2.19,0,2.19,0,0,0.55,0,0,0,0,0,7.65,0,0.55,0
