stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,4.28,1.07,0,0,0,0,0,0,0
21Day,0,0,4.02,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34
3Month,0.64,6.72,2.88,0.32,0,2.24,0.96,3.52,0.32,0.32,93.11,2.24,0.96,0.96,0,0.32,0,0,0,0,0.64,0.96,0.32,0.64,0.96
22Month,1.09,9.84,2.73,0.55,0,22.41,1.09,56.85,0,0,317.06,1.64,1.09,2.73,0.55,3.83,0,0,1.09,1.09,0.55,0,0,0,0.55
