stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,77.64,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,2.14,0,4.28,1.07,0,0,0,0,0,0,0,0,0,0,2.14,2.14,2.14,5.35,0,0,0,44.93,14.98,0,0,0,8.56,0,0,2.14,0,0,0,0,0
21Day,12.05,0,0,12.05,0,4.02,1.34,0,0,0,0,0,0,0,1.34,2.68,5.35,1.34,14.72,0,2.68,0,62.91,10.71,1.34,8.03,0,1.34,4.02,0,2.68,1.34,1.34,0,0,0
3Month,0,1.92,0,10.24,0,0,0,0,0.32,0.64,0,40.63,2.56,0.32,5.44,1.92,3.2,2.24,1.92,0.32,0.32,0.96,0.32,0,0.64,6.72,0,0,0.32,4.48,0,0,0,1.6,1.28,2.56
22Month,0,1.64,1.09,7.65,0,0,0,0.55,0,2.19,12.57,80.9,1.64,1.64,9.29,2.19,1.64,3.83,7.65,2.73,0.55,0,0.55,0,2.19,13.67,0.55,0,0.55,0.55,1.09,0,0,0,0,0.55
