stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,2.14,1.07,0,1.07,0,0,0,0,0,0,1.07,1.07,1.07,0,0,0,0,4.28,1.07,0,1.07,2.14,0,0,0,0,0,0
21Day,0,0,1.34,1.34,0,0,0,0,0,0,0,0,0,2.68,9.37,0,0,0,0,1.34,0,0,0,1.34,0,0,0,0,0,1.34
3Month,0,0,5.44,0,0.32,6.08,0,5.12,0.64,0.32,1.92,1.28,1.92,4.48,5.12,0.96,0,0.96,0.32,0,0,0.64,0,0.32,0,2.56,0,0.64,0.32,2.56
22Month,0.55,2.73,3.83,0,0,3.83,1.09,32.25,1.64,1.09,3.83,0,2.73,8.75,4.37,0,1.64,1.09,0,0,0,0,1.09,0.55,1.09,0.55,1.09,0,0,1.09
