stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,8.56,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0,2.14,1.07,0,0,0,0,0,0
21Day,0,0,22.76,151.25,6.69,0,1.34,0,0,0,0,0,2.68,13.39,14.72,2.68,0,4.02,0,0,0,0,5.35,4.02,0,0,1.34,0,0,0,0,0,0,0,1.34
3Month,0.96,3.2,149.74,3448.09,0,6.08,0.96,31.99,13.12,0,60.15,38.39,1.6,929.77,38.39,16,15.04,24,8,0.32,9.6,4.48,5.76,0,12.16,1.28,0.64,6.08,55.35,0.64,0,0,4.48,66.55,15.36
22Month,0,2.73,198.98,782.26,0,0,0.55,59.59,12.57,2.19,101.13,1.64,0.55,373.91,18.04,4.37,4.92,8.2,0,2.19,3.28,0,0,0.55,2.73,2.19,0,0.55,18.59,1.09,0.55,0.55,0.55,1.09,1.09
