stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,4.09,12.26,0,4.09,16.35,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,39.58,0,0,0,0,0,0
21Day,0,0,0,0,0,0,2.68,0,33.46,1.34,1.34,0,0,0,0
3Month,0.32,0.32,0,1.28,0.32,0.32,0,0,0.32,0,0,0,0.32,0.64,0.32
22Month,0,0,0,2.19,0,0,1.09,0.55,0,0,0,3.83,0.55,0,0
