stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,4.09,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,2.14,2.14,0,0,0,0,0,0,0,0,35.3,1.07,0,0,1.07,0,0,2.14,2.14,0,0,0,0,0,0,0,0,0,0
21Day,0,0,2.68,8.03,0,0,0,1.34,0,1.34,0,33.46,2.68,10.71,9.37,1.34,0,0,1.34,0,0,1.34,0,0,0,1.34,0,0,0,0,0,0
3Month,0,0,20.8,124.14,0,1.28,92.15,3.84,26.24,2.88,0.64,342.03,12.8,5.44,6.08,3.84,0.64,0.32,3.84,1.28,0.32,0,1.92,0.64,0,3.2,18.24,0,0,0.96,27.84,1.6
22Month,0,1.09,14.76,26.79,0,0.55,25.15,3.83,46.47,2.73,0.55,203.9,1.09,0.55,9.29,3.83,0,1.09,2.19,0,0.55,0,1.09,0,1.09,1.09,6.56,0.55,0.55,0,0,0
