stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,4.28,0,0,1.07,0,0,0,0,0,0,0
21Day,0,0,8.03,0,1.34,0,0,0,0,0,0,0,0,14.72,2.68,0,0,0,0,0,2.68,0,0,0,0,0,0,0,2.68,0,0
3Month,0.64,0.32,13.44,0.32,0,2.24,1.92,0,14.4,2.88,0,17.6,0.64,0.96,2.88,2.56,0,0,1.6,0.64,0,0,1.28,0,0.64,2.56,0,0,0,0.64,5.44
22Month,0.55,2.73,8.2,0,0.55,1.09,4.37,1.09,19.13,4.37,1.09,19.68,0,0,4.92,2.19,0.55,1.64,0.55,0,0,0,0.55,0,1.64,4.37,0.55,0.55,0,0,4.37
