stage,Epithelial_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte
72hpf,0,10.7,1.07,0,4.28,2.14,0
21Day,0,0,1.34,0,4.02,1.34,0
3Month,0,0,0,0,0,0,0.64
22Month,0.55,0,0,1.64,0,0,0
