stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,8.56,0,0,0,0,0,5.35,2.14,0,0,0,0,0,0,0
21Day,1.34,0,9.37,0,0,0,0,0,1.34,1.34,12.05,0,1.34,0,0,0,1.34,1.34,0,0,0,0,1.34,0,1.34
3Month,0,0.64,6.08,0.64,1.28,0.64,6.4,1.92,0,5.12,1.6,1.28,0.96,0,1.28,0.32,0,0,0.32,0.32,0.32,0,0,0.64,2.24
22Month,0,1.09,2.19,0,0,1.09,4.37,0,0,9.84,0,0,0.55,0.55,0.55,0,0,0,0.55,0,0,0.55,0,0.55,0
