stage,Epithelial_cell,Immune_progenitor_cell,Ionocyte,Macrophage,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,0,4.09,0
72hpf,0,0,1.07,0,0,0
21Day,4.02,1.34,1.34,1.34,1.34,2.68
