stage,Epithelial_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
21Day,1.34,0,0,0,0,0,0,0,0
3Month,0,0,0.32,0,0,0,0.32,0.64,0.64
22Month,0.55,1.09,0,0.55,0.55,0.55,0,0,0
