stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cone_cell,Spermatocyte
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,16.35,0,0,0,61.3,4.09,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,1.07,0,6.42,1.07,0,26.74,6.42,2.14,1.07,0,0
21Day,4.02,0,1.34,0,2.68,0,0,0,0,0,0,13.39,0,0,16.06,6.69,4.02,0,1.34,0
3Month,0,0,0,0,0,0.32,0.64,0.32,0,0,0,0.32,0,0.32,0,0,0,0,0,0.32
22Month,0,0.55,0,0,0,0.55,7.11,1.64,1.09,0,1.09,2.19,0,0,0.55,0,0,0,0,0
