stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,12.26,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,1.07,0,1.07,0,0,1.07,26.74,4.28,0,10.7,2.14,0,1.07,3.21,1.07,0,0,0
21Day,0,1.34,0,0,0,0,1.34,0,0,0,0,5.35,0,0,0,17.4,1.34,0,17.4,0,1.34,5.35,0,0,0,0,0
3Month,3.84,0,0,0.32,0.64,0.32,0,0,0.96,0,0.32,1.6,0.64,2.24,0,0.64,0,0.64,8.64,0,0.32,72.31,0.32,0,0.64,8.32,0.64
22Month,1.09,0,0,0,1.09,0,0,0.55,0,0,0,0,0,1.64,0,0.55,0,0.55,2.73,0,0,49.75,0,0,0,0.55,0
