stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0
21Day,0,0,8.03,0,0,0,0,0,0,1.34,0,0,0,0,42.83,0,1.34,0,0,0,0,0,0,0,0,0,0
3Month,0.64,0.64,42.55,0.32,1.6,0.96,12.16,2.24,4.16,1.28,1.6,1.28,0.96,1.28,417.53,0.64,0.64,0.32,0.64,0.32,3.52,1.28,0.32,0.32,1.28,0.96,1.6
22Month,1.09,0.55,20.23,0,0,1.09,14.76,1.09,2.73,0,0.55,1.64,0.55,0,200.08,0.55,0,0,0.55,0,1.09,1.09,0,0,0,0,0.55
