stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,4.09,0,4.09,0,0,0,0,0,0,0,4.09,0,20.43,0,0,0,8.17,32.69,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,2.14,7.49,0,6.42,0,0,0,0,0,1.07,0,6.42,2.14,9.63,0,0,0,9.63,16.05,1.07,0,11.77,0,0,2.14,0,0,0,0,0
21Day,4.02,0,20.08,2.68,9.37,0,0,0,0,0,0,0,13.39,1.34,28.11,0,4.02,0,1.34,4.02,0,0,5.35,1.34,0,1.34,1.34,1.34,0,0,4.02
3Month,0,0.96,3.2,0,0,0.32,0.64,0.32,1.6,0.96,0.32,0.96,1.28,0,1.28,0,0.96,0.64,0.32,0.32,0.64,0.32,0,0.32,0.32,0,0,0,0.64,0.32,1.6
22Month,0,3.28,2.73,0,0,0,0,0,12.57,1.09,0.55,1.64,0,4.92,1.09,1.09,1.09,0,0.55,0,0,0,0,0,0.55,0.55,0,0,0,0,0.55
