stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte
24hpf,4.09,8.17,0,20.43,0,0,0,0,0,0,0,0,4.09,0,0,183.89,4.09,0,0,0,0
72hpf,3.21,1.07,0,2.14,0,0,0,0,0,0,6.42,7.49,5.35,1.07,12.84,36.37,4.28,0,1.07,0,0
21Day,1.34,0,0,1.34,2.68,6.69,0,0,1.34,0,1.34,0,0,0,4.02,20.08,4.02,0,0,1.34,0
3Month,0,0,0.32,0.64,0,0,0.96,0.32,0,0.64,0,0.32,0,0,0,0,0,0.64,0,0,0.96
22Month,0,0,0,1.09,0,0,5.47,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0
