stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,20.43,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,4.28,0,4.28,0,0,0,1.07,0,0,1.07,0,0,0,7.49,0,0,18.19,5.35,1.07,0,0,0,0,2.14,1.07,0,0,1.07,0,0,0,0,0,0,0,0
21Day,1.34,2.68,0,26.77,0,1.34,0,0,0,0,4.02,0,0,1.34,26.77,0,0,17.4,16.06,1.34,0,0,0,0,0,1.34,0,0,0,1.34,0,0,0,0,0,0,14.72
3Month,1.6,28.48,6.08,94.39,0.32,0,6.4,3.2,0.64,16.32,157.42,0,36.79,179.81,25.92,42.87,4.48,23.04,121.9,9.6,1.6,0,2.88,2.88,0.32,0.32,3.2,1.28,0,6.08,0.32,18.24,0,0.32,5.76,4.8,300.43
22Month,0,13.12,1.64,24.6,0,0,0,0,0,4.92,126.82,1.64,41.55,30.61,12.03,18.04,0.55,3.83,27.88,3.83,0,1.09,4.37,0,0,0,0.55,0,0.55,0,0,2.73,1.64,0,0.55,0,16.95
