stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,3.21,0,0,4.28,0,0,0,0,0,0
21Day,1.34,0,1.34,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,1.34,0
3Month,0,1.92,0.64,3.52,0.64,2.88,0.64,0,0,0.32,3.2,0.96,0,0.32,0.32,0,0,1.92,1.28
22Month,0.55,0,0,9.29,1.09,0,0,1.09,0.55,0,3.28,0.55,0,0.55,1.09,0.55,3.28,53.57,0
