stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,49.04,8.17,65.38,0,4.09,0,0,16.35,0,0,0,0,0,20.43,28.6,77.64,0,0,44.95,5974.32,4.09,0,12.26,0,0,0,0,0,0,0,0
72hpf,25.67,9.63,27.81,13.91,18.19,0,0,0,0,0,0,0,5.35,83.44,5.35,19.26,6.42,0,2107.49,369.08,1.07,49.21,25.67,0,0,225.73,1.07,0,8.56,0,0
21Day,12.05,0,32.12,0,6.69,2.68,1.34,0,5.35,0,1.34,4.02,0,29.45,2.68,26.77,0,1.34,633.13,259.68,0,14.72,10.71,28.11,0,105.74,4.02,2.68,1.34,0,6.69
3Month,0,0,10.56,0,0,0,0,0,2.88,1.28,0,0,0,5.44,0.32,0,0.32,0,0.64,3.52,0,0.64,0,0,0.96,3.52,0,0,0,0.32,0
22Month,0,0,4.37,0,0,0,1.64,0,13.67,1.09,0,2.19,0,3.83,1.64,3.28,0,0,0,2.73,0,3.28,0,0,2.19,1.09,0,0,0,0,0
