stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,1.07,0,0,0,0,0,0,0,0,1.07,2.14,0,0,0,0,0,0,62.05,1.07,0,0,0,2.14,1.07,0,0,0,0
21Day,1.34,1.34,1.34,0,0,4.02,1.34,0,0,0,0,2.68,0,0,0,0,5.35,0,0,0,0,139.21,1.34,1.34,1.34,1.34,0,0,1.34,0,0,2.68
3Month,0,0.64,0.32,3.2,0,0,0,1.28,0.96,4.48,1.28,0,3.52,1.6,1.92,0.96,4.16,1.28,0,0.32,19.2,3.2,0.32,0,0.96,5.44,0.64,0,0,4.8,22.72,1.92
22Month,0,0,0,0.55,0,0,0,0,0,13.12,0,0,1.09,0,0,0.55,3.83,0,1.09,0,0,3.28,0,0,0,4.37,0.55,0,0,0,0.55,0
