stage,Erythrocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,4.09,8.17,0,4.09,0
72hpf,0,1.07,2.14,0,0,0,0
21Day,1.34,0,1.34,1.34,0,0,0
3Month,0,0,0,0,0.32,0,0.32
22Month,0,0,0,0,1.64,0,0
