stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,8.17,0,0,0,0,0,0,4.09,4.09,0,8.17,20.43,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,4.28,2.14,0,0,0,0,0
21Day,2.68,5.35,1.34,0,0,2.68,1.34,1.34,1.34,12.05,0,5.35,5.35,1.34,0,1.34,0,0
3Month,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0.64,0,0,0
22Month,0,0.55,0,1.64,3.28,1.09,0,0,0,0.55,0.55,0,0,0,0,0.55,0.55,0.55
