stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,8.17,0,4.09,4.09,24.52,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,2.14,2.14,0,0,0,0,0,0,1.07,0,1.07,3.21,0,1.07,0,0,49.21,8.56,0,0,2.14,0,0,1.07,1.07,0,0,0
21Day,2.68,0,2.68,1.34,5.35,0,0,0,1.34,1.34,2.68,1.34,0,1.34,0,10.71,0,0,33.46,10.71,0,1.34,0,2.68,0,1.34,0,0,0,0
3Month,0.32,0.32,4.48,0,0.32,0.32,0.64,0,2.88,0,0.96,1.28,0.64,1.92,0.64,1.92,0.64,0.64,0.96,0,0.64,0,0.32,0,14.4,0,0,1.6,8.96,0.96
22Month,0,0.55,3.83,0,0.55,0.55,0.55,0.55,4.92,0.55,0.55,0,0,0,1.64,1.09,1.09,0,0,0,0,0,0,0,2.73,0.55,0,0,0,1.09
