stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Muscle_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte
24hpf,4.09,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,2.68,0,0,0,0,0,0,2.68,0,1.34,0,0,1.34,9.37,0,0
3Month,3.84,0.32,0.64,0.32,0.64,0.32,0.32,0,0.32,0,0,0.64,0,0,0.32,18.56
