stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,1.07,1.07,0,0,0,0,0,0,0,0,0,1.07,0,0,2.14,0,0,0,10.7,11.77,0,7.49,0,0,0,0,0,0
21Day,1.34,0,0,8.03,0,0,1.34,0,0,0,1.34,0,0,0,1.34,6.69,0,2.68,0,1.34,0,2.68,1.34,0,1.34,1.34,0,0,0,0,0
3Month,0.32,0.96,0.32,6.72,0,0.32,0,0.32,1.28,0,14.08,0.64,0.32,3.52,0.64,1.92,2.24,2.56,0.32,0.96,0.64,0.32,0,0,0,0.96,1.6,0,2.24,1.6,0.96
22Month,0,0,0,2.19,0,0,0,0.55,1.09,0.55,10.93,0.55,0.55,4.92,0,0,1.09,0.55,0,0,0,0,0,0.55,0,0,0.55,0.55,0,0,0
