stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte
72hpf,0,0,0,1.07,0,2.14,1.07
21Day,1.34,2.68,1.34,0,1.34,0,1.34
22Month,0,0.55,0,0,0.55,0,0
