stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,25.67,0,0,26.74,0,4.28,7.49,0,0,4.28,0,0,1.07,0,0,0
21Day,8.03,0,0,1.34,0,1.34,0,0,0,0,0,0,0,2.68,0,0,9.37,2.68,165.98,0,0,167.32,0,13.39,1.34,0,0,10.71,5.35,0,1.34,1.34,0,2.68
3Month,0.32,1.92,0.32,10.24,0.32,0,0,0.32,1.28,10.24,0,16.64,7.04,0,6.08,0.64,5.44,2.88,112.62,16.32,0,296.59,2.56,0.64,0,0.32,0,1.28,1.28,2.88,0,0,1.6,2.56
22Month,3.83,0.55,0,4.37,0,0,2.73,1.64,0.55,5.47,0.55,83.09,1.64,1.09,5.47,0.55,1.09,4.92,41,1.64,2.19,17.49,0,1.64,0.55,0,0.55,0,0,2.73,0,0,0,1.64
