stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,28.6,0,0,0,0,0
72hpf,1.07,1.07,0,0,1.07,0,0,1.07,0,0,2.14,0,33.16,9.63,0,1.07,0,0,0
21Day,2.68,0,1.34,1.34,1.34,0,0,1.34,1.34,0,1.34,0,18.74,2.68,0,0,1.34,0,0
3Month,0,0,0.64,0,0,0.64,0.64,0,0,0.32,0,0,0,0,0.32,0,0,0,0.32
22Month,0,0,1.09,0,0,3.28,1.09,0,0,0.55,0.55,0.55,0,0,0,0,0,0.55,0
