stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,57.21,0,0,0,0,0,0,0,237.01,0,0,0,0,4.09,0,28.6,0,0,0,0,0,106.25,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,22.47,2.14,2.14,0,0,0,0,0,0,0,0,0,1.07,6.42,1.07,83.44,0,0,0,0,5.35,19.26,0,3.21,0,0,1.07,1.07,0,0,0
21Day,0,0,0,12.05,1.34,0,0,0,0,1.34,0,0,0,0,0,0,9.37,4.02,42.83,0,0,2.68,0,1.34,2.68,0,1.34,1.34,0,1.34,0,0,0,1.34
3Month,0,0.64,0.64,19.84,2.56,0,0.32,0.64,0.96,4.8,0,0,33.27,2.56,3.52,1.28,8,2.56,34.87,0.32,0.32,0.32,0.64,0,0,0.64,0.32,1.28,6.4,0.96,0,0.32,1.28,2.24
22Month,0,1.64,0.55,9.84,0,0,0.55,1.09,1.64,9.29,1.09,0,82,1.09,10.93,0,2.19,3.83,63.41,0,6.01,0.55,0,1.09,0,0.55,0,0,8.75,1.64,0,0.55,0,2.73
