stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,53.12,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,1.07,5.35,0,0,0,0
21Day,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,1.34,0,0,0,0,0
3Month,0.32,2.24,0.32,0,0.64,0.32,3.84,0,0,2.56,0.32,0.32,0,0.64,0,0.32,0,0,0,0.32,5.12,3.2
22Month,0,0.55,0,0.55,0.55,0,30.61,0.55,0,4.37,0,0,0.55,0,1.09,0,0,0,0.55,1.09,10.39,0
