stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,8.17,12.26,0,0,0,8.17,49.04,0,0,4.09,0,0,0,0
72hpf,1.07,4.28,0,4.28,0,0,0,0,0,0,0,6.42,5.35,0,0,6.42,0,0,6.42,7.49,0,0,4.28,1.07,0,0,0
21Day,0,0,0,4.02,1.34,0,0,0,1.34,0,6.69,0,0,0,5.35,0,0,0,1.34,5.35,0,0,0,2.68,4.02,0,0
3Month,0,0,1.6,4.8,0,1.28,1.6,0,7.04,0.96,74.55,0.32,0.32,1.28,1.28,0,0.96,0.32,0,0,0.32,0.32,0,0.32,9.28,1.92,0.32
22Month,0.55,0,2.19,1.09,0,1.64,0.55,0.55,31.71,0,50.84,0,0.55,0.55,1.09,1.64,0,0,0,0,0.55,0,0,0,6.01,0,0
