stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,1.34,1.34,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34
3Month,0,0.32,0.64,0.32,0,0,0,0,0,0.96,0,0,0.96,0,0,2.56,1.6,0,0,0,0.32,0,0,0,0.96,0,0.32,0.64
22Month,6.01,1.09,4.92,0,0,0,1.64,2.19,3.28,1449.73,2.19,0.55,6.56,1.09,0.55,7.11,4.92,27.88,1.09,0.55,0,0.55,2.19,1.64,2.73,1.09,0,3.28
