stage,Epithelial_cell,Erythrocyte__Liver_,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Mt_rich_cell,Primordial_germ_cell,Smooth_muscle_cell
24hpf,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0
21Day,2.68,0,0,0,0,0,0,0
3Month,0.64,0,0.64,0.32,0,0,0.32,0.32
22Month,0.55,0.55,3.83,0,0,0.55,0,0
