stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,4.09,0,0,0,0,0,0,0,114.42,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,3.21,0,0,0,0,0,0,0,4.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,10.71,0,0,2.68,5.35,0,0,0,13.39,0,0,1.34,1.34,1.34,0,0,0,0,0,0,0,0,2.68
3Month,0.96,3.84,0.32,0.32,0.64,33.59,0,2.88,115.82,0.32,1.92,0.64,1.28,14.4,1.28,0.64,0.64,0,0,0,0.64,0.64,1.28,0,0.32,0.64,0.96,18.88
22Month,0.55,2.19,0,0.55,0,62.87,1.09,4.37,55.76,0,0.55,0,0,28.43,0.55,0.55,0,0,0.55,0.55,0.55,0,0,0.55,0,0.55,0,17.49
