stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,0,0,0,12.26,0
72hpf,1.07,0,0,0,1.07,6.42,3.21,2.14
21Day,0,1.34,0,0,0,0,0,0
22Month,0,0,1.64,1.09,0,0,0,0
