stage,Enterocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Radial_glia
24hpf,0,0,4.09,0,0,0,4.09,0,0
72hpf,0,0,0,1.07,1.07,2.14,2.14,0,1.07
21Day,1.34,1.34,0,0,2.68,1.34,2.68,1.34,0
