stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,4.09,16.35,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,1.07,1.07,2.14,11.77,4.28,0,0,0,0,0,0,0,0,2.14,0,10.7,1.07,0,0,32.09,16.05,0,0,0,10.7,0,1.07,2.14,0,0,0,0,0
21Day,8.03,0,18.74,1.34,1.34,0,0,0,1.34,0,4.02,1.34,1.34,17.4,16.06,26.77,0,1.34,0,36.14,24.09,0,2.68,0,16.06,1.34,2.68,0,1.34,0,0,0,0
3Month,0,0,4.8,0.32,0,1.28,1.28,0,2.24,0.64,0,0.96,0,0.32,0.96,0.96,0,0,0.64,0.64,0.32,1.6,0,0,0,0.64,24,0,0,0.32,1.28,9.92,0.96
22Month,0,2.19,4.37,0,0,0.55,2.19,2.19,20.23,0,0.55,4.37,0,0.55,1.64,2.73,0,0.55,0,0.55,0,0,0,22.96,0,0,24.05,0,0,0,0,0,0.55
