stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Radial_glia,Retinal_cone_cell
24hpf,0,4.09,0,0,4.09,4.09,0,0,20.43,0,0
72hpf,1.07,1.07,0,1.07,2.14,1.07,0,26.74,2.14,1.07,0
21Day,4.02,2.68,1.34,1.34,2.68,1.34,5.35,17.4,1.34,1.34,2.68
