stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,8.17,8.17,0,4.09,0,0,4.09,0,49.04,0,0,0,0,0,0,0,0,0
72hpf,0,0,2.14,1.07,0,0,0,0,0,0,0,1.07,0,1.07,4.28,0,1.07,0,0,0,14.98,4.28,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,0,0,1.34,0,0,0,0,0,1.34,0,0,0,0,1.34,0,0,0,2.68,0,0,1.34,0,0,0,0,0,0,0
3Month,0,0.96,12.48,1.6,0,0.32,0.64,0.96,0,2.88,0.64,0.64,5.44,4.16,2.24,1.6,2.24,0.64,0.64,1.6,0.64,0,1.92,0.32,0.32,11.52,0.64,0.64,1.28,16.32,1.92
22Month,0,0.55,3.83,0.55,0.55,0,0.55,0.55,1.09,2.19,0.55,1.64,1.64,1.09,0,1.09,1.09,0,0,0,0.55,0.55,1.64,0,0,1.64,2.19,0.55,0,0,0
