stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,T_cell
24hpf,8.17,8.17,0,0,0,0,0,4.09,4.09,85.81,0,0
72hpf,0,2.14,0,0,0,0,2.14,4.28,4.28,8.56,2.14,0
21Day,0,4.02,1.34,0,1.34,1.34,0,5.35,1.34,8.03,0,0
3Month,0,0,0,0.32,0,0,0.32,0,0,0,0,0.32
