stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,4.09,12.26,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,2.14,2.14,2.14,0,0,0
21Day,0,0,1.34,1.34,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,1.34
3Month,0,0,1.28,0,0,0,0,1.6,0.32,0.32,0,0.32,0,0,0,0,0,0,0.32,0.32,0.32
22Month,0,0.55,1.09,0,1.09,1.09,0,17.49,1.09,0.55,0.55,0.55,1.64,0.55,0.55,0,0,0,0,0,0
