stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,16.35,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,16.35,335.09,0,0,0,0,0,0,0,0,0,12.26,0,0,0
72hpf,6.42,3.21,0,8.56,7.49,5.35,0,0,0,0,0,0,0,0,0,0,18.19,0,10.7,0,1.07,0,424.71,513.5,0,1.07,0,20.33,0,1.07,64.19,47.07,47.07,2.14,0,0,0
21Day,4.02,1.34,0,8.03,0,9.37,0,0,0,0,0,1.34,0,1.34,1.34,1.34,5.35,2.68,9.37,0,2.68,0,151.25,60.23,0,1.34,0,5.35,2.68,9.37,28.11,58.9,140.55,0,0,0,2.68
3Month,0,0,0,5.44,0.32,0,0.32,0.32,0,1.28,0.32,5.76,1.28,0.32,3.2,0,6.72,0.64,8.96,6.4,0.32,0.32,3.84,3.2,0.64,1.28,0,0.32,0.64,63.99,8.96,0.96,0.32,1.92,1.28,7.36,2.24
22Month,0,0.55,0.55,4.37,0,0,0.55,0,0.55,3.28,0.55,13.12,0.55,0,2.19,0,2.19,2.73,4.92,1.64,1.09,0,10.93,0,1.09,0.55,0.55,0,0,29.52,32.8,88.56,2.19,1.09,0,0,0.55
