stage,Epithelial_cell,Erythrocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Oligodendrocyte,Osteoblast,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0
72hpf,0,0,0,1.07,1.07,1.07,1.07,1.07,0,0,0
21Day,2.68,1.34,1.34,1.34,0,5.35,2.68,1.34,1.34,0,0
3Month,0,0,0,0,0,0,0,0,0,0,0.64
