stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell
24hpf,4.09,0,8.17,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,4.09,102.16,4.09,0,0,0,0,0,0
72hpf,1.07,0,6.42,0,5.35,0,0,0,0,0,0,5.35,0,6.42,0,1.07,0,105.91,13.91,0,1.07,7.49,0,13.91,1.07,1.07
21Day,0,1.34,14.72,1.34,0,0,0,0,0,1.34,0,0,1.34,2.68,0,1.34,0,26.77,9.37,0,0,1.34,4.02,8.03,0,0
3Month,0,0,5.44,0.64,0,0,0.32,1.6,0,0,0.32,0.32,0.32,0.32,0,0,0.32,0.32,0.32,1.28,0,0,1.28,0.64,0,0
22Month,0,0.55,4.92,0,0,1.09,0,4.37,0.55,0.55,1.09,0,0.55,0,0.55,0,0,1.09,0.55,0,0,0.55,3.83,0.55,0,0.55
