stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,2.14,0,0,0,0,0,0,0,0,4.28,0,5.35,0,0,0,5.35,2.14,0,0,13.91,0,0,0,0,0,0,0
21Day,2.68,0,1.34,0,0,0,1.34,0,0,0,0,0,0,22.76,0,4.02,0,0,0,1.34,0,16.06,0,0,0,1.34,0,0,0
3Month,0,0.64,3.2,0.32,1.6,0.32,28.48,0,0.32,0.64,0.32,2.24,0.64,5.44,0.32,1.6,0.32,0,0,0.96,0,0,1.28,0.96,0,0.32,0,0.32,1.92
22Month,0,1.09,1.64,0.55,0,1.64,77.62,2.19,0.55,5.47,0.55,0,0,6.56,0,0.55,0,0,0,0,0.55,0,0,0,0.55,0,0.55,0,2.19
