stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Osteoblast,Pancreatic_cell,Radial_glia
24hpf,4.09,0,0,0,0,4.09,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,0,0,1.07,1.07,1.07,0,1.07
21Day,1.34,0,0,0,1.34,4.02,0,1.34,1.34,1.34,0,1.34
22Month,0,0.55,1.09,0.55,0.55,0,0.55,0,0,0,0.55,0
