stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,1.07,2.14,0,0,0,0,0,0,0,0,0,0,0
3Month,0.32,0,0,2.24,0,0.32,0.32,1.28,0,5.76,0.96,0.32,2.24,0.32,1.6,0.64,0.64,0.32,0,0,0.32,0,0,0,0.32,0,0,0,0.64,0,0,0,0.64,0.32
22Month,0,2.19,0.55,10.39,1.09,0.55,1.64,13.67,4.92,87.46,7.65,1.09,7.65,0.55,1.09,2.73,12.03,0,3.28,1.64,0.55,0.55,0,0.55,2.19,360.25,0.55,0.55,1.64,1.64,0.55,0.55,0,3.83
