stage,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Neural_progenitor_cell,Neurosecretory_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,28.6,0,0,0,0,0
72hpf,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,1.34,0,0,0,0,0,12.05,0,1.34,1.34,0,1.34
3Month,0,0.32,0.32,1.28,0.32,0.32,1.6,0.32,0,0,0.32,0
22Month,0,0,0,0,0,0,1.09,0,0,0,0,0
