stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,273.79,0,4.09,0,4.09,0,8.17,0,0,0,0,0,0,0,4.09,0,85.81,110.33,0,0,0,0,12.26,143.02,0,0,49.04,0,0,0,0,0,0,0
72hpf,3.21,209.68,0,0,1.07,4.28,0,0,0,0,0,0,0,1.07,0,1.07,8.56,3.21,10.7,0,0,0,0,22.47,8.56,0,0,14.98,0,0,1.07,0,0,0,0
21Day,1.34,85.67,0,2.68,0,1.34,0,0,0,0,0,0,0,1.34,0,0,0,0,10.71,0,0,5.35,0,4.02,5.35,0,0,9.37,0,0,0,0,0,1.34,0
3Month,0.32,671.57,1.28,16,0.64,0,0.64,0.32,1.28,4.8,0,17.28,5.76,0.32,8.32,1.6,8,6.08,5.44,1.28,0,6.08,0.96,2.56,0.32,0.32,0,0.64,1.92,64.95,0,0,39.67,2.56,2.24
22Month,0,1112.99,1.09,8.2,1.09,0,0.55,0,1.64,32.8,9.84,153.06,4.92,2.73,7.11,0.55,1.09,9.29,10.93,0.55,3.28,4.92,0,0.55,0,2.19,0.55,0.55,0,47.01,1.64,1.09,20.23,0,4.37
