stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell
72hpf,0,0,0,0,0,1.07,0,6.42
21Day,1.34,0,0,0,0,1.34,0,0
3Month,0,0.32,0.32,0.32,0.64,0,0.32,0
22Month,0,0,1.64,0,0,0,0,0
