stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,2.14,0,0,0,0,1.07,0,0,0,0,1.07,0,1.07,0,0,0,3.21,1.07,0,3.21,0,0,1.07,1.07,0,0
21Day,2.68,0,2.68,0,1.34,0,1.34,0,0,2.68,0,0,1.34,0,0,0,0,0,2.68,4.02,0,1.34,0,0,0,0,0,1.34
3Month,0,0.32,5.12,0.32,0,1.6,2.56,20.16,0.96,0.64,2.56,0.32,1.92,1.6,0.96,0.32,0,0.32,0,0.32,0.64,0,0.64,9.6,0,0,8.64,1.6
22Month,0,0.55,0,0,0,0.55,0,22.41,0,0.55,0.55,0,0,3.28,1.64,0,0.55,1.09,0,0,0,0,0,0.55,0,0,0,0.55
