stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,28.6,0,8.17,20.43,0,0,12.26,8.17,380.04,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,7.49,5.35,1.07,0,0,0,0,0,0,0,0,0,0,6.42,5.35,0,1.07,0,0,3.21,28.88,48.14,0,0,0,1.07,0,0,19.26,3.21,0,0,0
21Day,0,0,0,8.03,0,0,0,0,0,0,0,0,0,0,1.34,0,2.68,1.34,2.68,9.37,0,0,0,4.02,4.02,0,1.34,0,1.34,0,1.34,9.37,4.02,0,0,0
3Month,0,1.6,1.28,97.58,0,0,0.64,0.64,0.32,1.28,4.8,0,32.63,6.72,0,9.92,17.28,5.12,6.08,5.76,1.28,1.28,4.8,1.92,0.96,1.28,0.96,0,0.32,3.2,11.2,1.6,2.88,2.24,935.53,3.84
22Month,0,2.73,0,54.67,0,0,0,0,0,0,8.2,1.09,19.68,6.01,0.55,4.37,1.64,2.19,0,3.28,0,0.55,1.09,1.09,0.55,0,0,1.09,0,0,9.29,2.19,0,0,4.92,0
