stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Ionocyte,Macrophage,Nephron_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,4.09,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,1.34,0,0
3Month,0,1.28,0.32,0.96,0.32,0.32,0.32,0,0.64,18.56
22Month,0,0,0,0.55,0,0,0,0,1.09,0
