stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,4.09,0,0,0,0,0,0,0,0,0,12.26,0,12.26,0,0,4.09,53.12,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,1.07,3.21,2.14,0,0,0,0,2.14,2.14,0,0,0,0,0,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0,0.64,0,0,0.32,0,0.32,0,0,0.32,0,0.32,0.32,0.32,0,0,0,0,0,0,0,0,0.32,0,0,0,0.64,0.96
22Month,0,4.37,8.75,0,1.64,7.11,4.92,56.31,4.92,0.55,1.64,0,1.09,2.19,6.01,2.19,0.55,0,0,0.55,0.55,247.63,0,6.01,0.55,1.09,1.09,0,4.37
