stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
72hpf,0,9.63,0,0,0,0,0,0,12.84,0,0,0,2.14,2.14,0,0,0,0,0,0,0
21Day,0,29.45,0,0,0,0,0,2.68,6.69,0,0,6.69,0,2.68,1.34,0,1.34,0,0,0,0
3Month,0,22.4,3.2,0.32,1.92,0.64,3.52,1.28,5.12,1.92,0.32,17.6,0,0,1.28,0,0.64,2.56,0.32,0.32,0.64
22Month,1.09,8.2,0,0.55,0,0,0,1.09,1.09,0.55,0,18.04,0,0,0.55,0.55,0,0,0,0,0
