stage,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Smooth_muscle_cell
24hpf,0,0,0,0,4.09,0,28.6,0,0,0,0
72hpf,0,0,0,1.07,0,2.14,6.42,0,0,0,0
21Day,1.34,1.34,0,0,5.35,0,1.34,1.34,2.68,2.68,0
3Month,0,0,0,0.32,0,0,0,0,0,0,0.32
22Month,0.55,0,0.55,0,0,0,0,0,0,0,0
